Gain,fit,enemy
84,yes,2
80,yes,2
84,yes,2
84,yes,2
86,yes,2
84,yes,2
84,yes,2
82,yes,2
78,yes,2
84,yes,2
100,yes,5
91.6,yes,5
95.8,yes,5
97.6,yes,5
97.6,yes,5
92.8,yes,5
98.2,yes,5
94,yes,5
98.8,yes,5
92.8,yes,5
61.6,yes,7
77.8,yes,7
72.4,yes,7
50.8,yes,7
78.4,yes,7
77.8,yes,7
77.8,yes,7
63.4,yes,7
73.6,yes,7
68.8,yes,7
88,no,2
92,no,2
84,no,2
84,no,2
88,no,2
88,no,2
82,no,2
88,no,2
90,no,2
84,no,2
95.2,no,5
95.8,no,5
91.6,no,5
93.4,no,5
98.8,no,5
94.6,no,5
93.4,no,5
94.6,no,5
95.2,no,5
99.5,no,5
77.7,no,7
67.6,no,7
62.8,no,7
73.6,no,7
80.8,no,7
78.4,no,7
77.8,no,7
76.6,no,7
77.8,no,7
77.8,no,7